date;category;comment;outcome_account;outcome;outcome_currency;income_account;income;income_currency
16/03/2016;Связь;Мтс интернет;Наличные;225.85;RUB;Наличные;0;RUB
16/03/2016;Семейные;Родительские;Наличные;0;RUB;Наличные;7981.15;RUB
17/03/2016;Одежда;Куртка;Наличные;2100;RUB;Наличные;0;RUB
17/03/2016;Одежда;Туфли;Наличные;1200;RUB;Наличные;0;RUB
18/03/2016;Трудоустройство;Автобус на Москву;Наличные;1937.3;RUB;Наличные;0;RUB
19/03/2016;Связь;Мтс мегафон;Наличные;200;RUB;Наличные;0;RUB
20/03/2016;Трудоустройство;Метро;Наличные;150;RUB;Наличные;0;RUB
20/03/2016;Трудоустройство;Автобус на Астрахань;Наличные;2000;RUB;Наличные;0;RUB
25/03/2016;Здоровье;Таблетки;Наличные;168;RUB;Наличные;0;RUB
03/04/2016;Переезд;Самолет на Москву;Наличные;2038.98;RUB;Наличные;0;RUB
04/04/2016;Переезд;Такси до метро;Наличные;350;RUB;Наличные;0;RUB
04/04/2016;Переезд;Такси в аэропорт;Наличные;125;RUB;Наличные;0;RUB
04/04/2016;Связь;Мтс московские номера;Наличные;240;RUB;Наличные;0;RUB
04/04/2016;Семейные;Родительские;Наличные;0;RUB;Наличные;22062.98;RUB
04/04/2016;Продукты;Чай;Наличные;85;RUB;Наличные;0;RUB
05/04/2016;Трудоустройство;Метро;Наличные;250;RUB;Наличные;0;RUB
06/04/2016;Трудоустройство;Метро;Наличные;200;RUB;Наличные;0;RUB
06/04/2016;Трудоустройство;Самолет на Астрахань;Наличные;2500;RUB;Наличные;0;RUB
06/04/2016;Трудоустройство;Медкомиссия;Наличные;2300;RUB;Наличные;0;RUB
06/04/2016;Трудоустройство;Аэроэкспресс;Наличные;470;RUB;Наличные;0;RUB
06/04/2016;Еда;Бистро;Наличные;130;RUB;Наличные;0;RUB
07/04/2016;Трудоустройство;Справка из психдиспансера;Наличные;1380;RUB;Наличные;0;RUB
09/04/2016;Трудоустройство;Автобус на Москву;Наличные;1937;RUB;Наличные;0;RUB
10/04/2016;Трудоустройство;Метро;Наличные;200;RUB;Наличные;0;RUB
10/04/2016;Кафе;Столовая;Наличные;140;RUB;Наличные;0;RUB
10/04/2016;Еда;Вода;Наличные;60;RUB;Наличные;0;RUB
10/04/2016;Продукты;Молоко, мюсли, рис, молоко;Наличные;207;RUB;Наличные;0;RUB
10/04/2016;Трудоустройство;Ксерокс;Наличные;70;RUB;Наличные;0;RUB
12/04/2016;Жилье;Аренда квартиры;Наличные;9380;RUB;Наличные;0;RUB
12/04/2016;Семейные;Родительские;Наличные;0;RUB;Наличные;18428.94;RUB
12/04/2016;Семейные;Родительские;Наличные;0;RUB;Наличные;2142;RUB
12/04/2016;Транспорт;Маршрутка до студий в новойопалихе;Наличные;80;RUB;Наличные;0;RUB
12/04/2016;Прочее;Пакет;Наличные;2.2;RUB;Наличные;0;RUB
12/04/2016;Продукты;Картошка 0.77 кг;Наличные;7.16;RUB;Наличные;0;RUB
12/04/2016;Продукты;Капуста 0.288 кг;Наличные;19.04;RUB;Наличные;0;RUB
12/04/2016;Продукты;Морковь 0.602;Наличные;15.71;RUB;Наличные;0;RUB
12/04/2016;Продукты;Куриная грудка 0.571;Наличные;99.53;RUB;Наличные;0;RUB
12/04/2016;Продукты;Хлеб 1/2;Наличные;9.9;RUB;Наличные;0;RUB
12/04/2016;Продукты;Лук 0.276 кг;Наличные;5.41;RUB;Наличные;0;RUB
13/04/2016;Транспорт;До ОКея и обратно;Наличные;70;RUB;Наличные;0;RUB
13/04/2016;Продукты;Сахар, рожки;Наличные;43.4;RUB;Наличные;0;RUB
14/04/2016;Продукты;Молоко;Наличные;33.8;RUB;Наличные;0;RUB
14/04/2016;Продукты;Курица 1 кг;Наличные;60.18;RUB;Наличные;0;RUB
14/04/2016;Сладкое;Печенье;Наличные;24.5;RUB;Наличные;0;RUB
14/04/2016;Продукты;Роллтон бульон;Наличные;26.8;RUB;Наличные;0;RUB
14/04/2016;Одежда;Олимпийка;Наличные;800;RUB;Наличные;0;RUB
15/04/2016;Ошибка;Ошибка;Наличные;0;RUB;Наличные;19.95;RUB
15/04/2016;Сладкое;Печенье рыбки;Наличные;18;RUB;Наличные;0;RUB
15/04/2016;Продукты;Лечо;Наличные;53.6;RUB;Наличные;0;RUB
15/04/2016;Сладкое;Паста шоколадная;Наличные;48.8;RUB;Наличные;0;RUB
15/04/2016;Продукты;Булка городская;Наличные;11.8;RUB;Наличные;0;RUB
16/04/2016;Связь;Мтс;Наличные;20;RUB;Наличные;0;RUB
18/04/2016;Продукты;Картошка 0.854 кг;Наличные;9.14;RUB;Наличные;0;RUB
18/04/2016;Продукты;Морковь 0.35;Наличные;10.33;RUB;Наличные;0;RUB
18/04/2016;Продукты;Капуста 0.898;Наличные;22;RUB;Наличные;0;RUB
18/04/2016;Продукты;Молоко;Наличные;33.8;RUB;Наличные;0;RUB
18/04/2016;Продукты;Лук 0.234;Наличные;4.8;RUB;Наличные;0;RUB
18/04/2016;Продукты;Батон;Наличные;10.6;RUB;Наличные;0;RUB
18/04/2016;Гигиена;Т.бумага х2;Наличные;11.4;RUB;Наличные;0;RUB
18/04/2016;Сладкое;Паста nutella;Наличные;208;RUB;Наличные;0;RUB
19/04/2016;Продукты;Мюсли;Наличные;113.5;RUB;Наличные;0;RUB
20/04/2016;Продукты;Печенье, хлеб;Наличные;28.6;RUB;Наличные;0;RUB
20/04/2016;Канцелярия;Тетрадь;Наличные;50;RUB;Наличные;0;RUB
20/04/2016;Трудоустройство;Метро до Э+Х;Наличные;100;RUB;Наличные;0;RUB
23/04/2016;Продукты;Булка городская;Наличные;9.7;RUB;Наличные;0;RUB
23/04/2016;Продукты;Бульон куриный;Наличные;22;RUB;Наличные;0;RUB
23/04/2016;Сладкое;Паста шоколадная;Наличные;112.2;RUB;Наличные;0;RUB
23/04/2016;Продукты;Курица 1 кг;Наличные;56.4;RUB;Наличные;0;RUB
23/04/2016;Продукты;Чебуреки мороженые;Наличные;41;RUB;Наличные;0;RUB
23/04/2016;Продукты;Мюсли;Наличные;139.9;RUB;Наличные;0;RUB
23/04/2016;Продукты;Картошка 0.734;Наличные;6.75;RUB;Наличные;0;RUB
23/04/2016;Продукты;Молоко;Наличные;34;RUB;Наличные;0;RUB
23/04/2016;Ошибка;Ошибка;Наличные;7.73;RUB;Наличные;0;RUB
25/04/2016;Гигиена;Зуб. паста колгейт;Наличные;33;RUB;Наличные;0;RUB
25/04/2016;Продукты;Хлеб 1/2;Наличные;9.9;RUB;Наличные;0;RUB
26/04/2016;Транспорт;Безлимит 30 дней;Наличные;2050;RUB;Наличные;0;RUB
26/04/2016;Трудоустройство;Метро до Э+Х;Наличные;50;RUB;Наличные;0;RUB
26/04/2016;Сладкое;Пончики 12 шт. Krispy kreme;Наличные;525;RUB;Наличные;0;RUB
26/04/2016;Связь;Мтс;Наличные;200;RUB;Наличные;0;RUB
26/04/2016;Продукты;Картошка;Наличные;8;RUB;Наличные;0;RUB
26/04/2016;Продукты;Соус;Наличные;32;RUB;Наличные;0;RUB
26/04/2016;Продукты;Молоко;Наличные;34.3;RUB;Наличные;0;RUB
26/04/2016;Прочее;Контейнер для еды;Наличные;31;RUB;Наличные;0;RUB
27/04/2016;Кафе;Компот;Наличные;25;RUB;Наличные;0;RUB
27/04/2016;Кафе;Суп в чашке;Наличные;65;RUB;Наличные;0;RUB
27/04/2016;Кафе;Плов;Наличные;95;RUB;Наличные;0;RUB
27/04/2016;Кафе;Хлеб 3х;Наличные;3;RUB;Наличные;0;RUB
29/04/2016;Продукты;рожки;Наличные;13.9;RUB;Наличные;0;RUB
29/04/2016;Гигиена;Влажные салфетки;Наличные;24.8;RUB;Наличные;0;RUB
29/04/2016;Продукты;Дранники морож.;Наличные;32.4;RUB;Наличные;0;RUB
29/04/2016;Продукты;Фасоль;Наличные;76.7;RUB;Наличные;0;RUB
29/04/2016;Гигиена;Туалетная бумага;Наличные;11.4;RUB;Наличные;0;RUB
29/04/2016;Сладкое;Козинаки;Наличные;19.8;RUB;Наличные;0;RUB
29/04/2016;Гигиена;Губки;Наличные;29;RUB;Наличные;0;RUB
29/04/2016;Ошибка;;Наличные;36.2;RUB;Наличные;0;RUB
